jerseyid,orderid,jerseyname,jerseynumber,team,jerseytype,jerseyyear,jerseysize,jerseyprice,quantitysold,datesold
1,1,CeeDee Lamb,88,Dallas Cowboys,Alternate,2023,S,129.99,3,2022-01-31
2,1,Amon-Ra St. Brown,14,Detroit Lions,Away,2020,XL,139.99,1,2022-01-31
3,2,Lamar Jackson,8,Baltimore Ravens,Home,2023,L,139.99,3,2022-02-12
4,3,Josh Allen,17,Buffalo Bills,Alternate,2024,M,129.99,1,2021-07-22
5,3,Joe Burrow,9,Cincinnati Bengals,Away,2021,XXL,129.99,3,2021-07-22
6,3,Christian McCaffrey,23,San Francisco 49ers,Home,2020,S,139.99,2,2021-07-22
7,4,Jordan Love,10,Green Bay Packers,Away,2023,XL,139.99,1,2025-05-12
8,4,Jalen Hurts,1,Philadelphia Eagles,Alternate,2022,S,119.99,1,2025-05-12
9,4,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,XL,119.99,2,2025-05-12
10,5,Lamar Jackson,8,Baltimore Ravens,Home,2022,S,139.99,3,2024-12-07
11,5,Jalen Hurts,1,Philadelphia Eagles,Alternate,2019,L,129.99,1,2024-12-07
12,5,Christian McCaffrey,23,San Francisco 49ers,Home,2023,XXL,119.99,3,2024-12-07
13,6,Jalen Hurts,1,Philadelphia Eagles,Alternate,2022,XXL,129.99,2,2020-04-03
14,6,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2022,M,129.99,3,2020-04-03
15,7,Patrick Mahomes,15,Kansas City Chiefs,Home,2019,S,139.99,1,2023-03-10
16,8,Josh Allen,17,Buffalo Bills,Alternate,2022,L,149.99,2,2024-06-11
17,9,CeeDee Lamb,88,Dallas Cowboys,Home,2022,XXL,119.99,1,2020-02-08
18,9,Amon-Ra St. Brown,14,Detroit Lions,Home,2019,M,129.99,2,2020-02-08
19,9,Joe Burrow,9,Cincinnati Bengals,Away,2020,XL,119.99,1,2020-02-08
20,9,Lamar Jackson,8,Baltimore Ravens,Home,2022,L,149.99,2,2020-02-08
21,10,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2020,S,119.99,1,2024-06-16
22,10,Josh Allen,17,Buffalo Bills,Alternate,2019,M,149.99,1,2024-06-16
23,10,Jordan Love,10,Green Bay Packers,Home,2023,XXL,119.99,3,2024-06-16
24,10,Josh Allen,17,Buffalo Bills,Away,2024,XXL,139.99,2,2024-06-16
25,11,Amon-Ra St. Brown,14,Detroit Lions,Home,2023,L,129.99,2,2021-12-23
26,12,Jalen Hurts,1,Philadelphia Eagles,Away,2019,S,129.99,2,2022-03-13
27,13,Christian McCaffrey,23,San Francisco 49ers,Home,2024,L,129.99,3,2022-11-05
